"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.650452500E0,2.614619024E-2,3.769526342E-3,-4.819859862E-3,2.685262821E-2
2.660446500E0,-2.273410236E-2,-2.549596159E-2,4.876577854E-3,3.450600642E-2
2.670440500E0,-4.935596360E-2,-6.017698534E-4,1.264284968E-2,5.095306583E-2
2.680433500E0,-8.341367416E-2,1.891780743E-2,-8.168560266E-4,8.553590900E-2
2.690427500E0,-8.908465108E-2,-2.445855590E-2,-1.126115263E-2,9.306508246E-2
2.700420500E0,-3.538839066E-2,-1.767869107E-3,-1.191662550E-3,3.545255442E-2
2.710414500E0,8.581026513E-3,3.970538084E-2,-7.449937463E-3,4.129955027E-2
2.720408500E0,1.174930377E-2,1.284954876E-2,-1.297321737E-2,2.171316217E-2
2.730401500E0,9.836880527E-3,-4.000984719E-3,8.303630948E-3,1.348044451E-2
2.740395500E0,9.079373740E-3,1.783963569E-2,1.463382661E-2,2.479589704E-2
2.750388500E0,3.804684553E-2,-3.720172187E-3,4.517558813E-3,3.849429144E-2
2.760382500E0,3.012057927E-2,-1.572093364E-2,-1.158041060E-2,3.589572341E-2
2.770376833E0,3.814652229E-2,2.624266930E-3,-8.839820623E-3,3.924520822E-2
2.780369833E0,2.701695029E-2,1.090445420E-2,-2.513074815E-2,3.847567058E-2
2.790363833E0,-6.188674774E-3,1.070303589E-2,-8.790704012E-3,1.517007415E-2
2.800356833E0,-4.263946798E-2,1.263000408E-2,-4.273729920E-3,4.467556379E-2
2.810350833E0,-4.893395908E-2,5.757899433E-3,1.896719813E-2,5.279621542E-2
2.820344833E0,-3.186348807E-3,-1.571494024E-2,4.939727783E-3,1.677835141E-2
2.830337833E0,-1.377150849E-2,-8.717860496E-3,-2.182707131E-2,2.724108257E-2
2.840331833E0,-1.931225695E-4,5.190182302E-2,-6.691553593E-3,5.233176300E-2
2.850324833E0,1.296800969E-2,9.231629753E-3,-6.844165921E-3,1.732728687E-2
2.860318833E0,1.417979032E-2,1.001607028E-2,-7.473326325E-3,1.890075987E-2
2.870312833E0,-9.750031102E-3,3.423580396E-2,-2.399112582E-2,4.292700196E-2
2.880305833E0,-4.429777488E-3,6.791650616E-3,-1.416487992E-2,1.632155844E-2
2.890299833E0,-4.321187384E-2,-1.511968455E-2,1.589682519E-2,4.846214970E-2
2.900292833E0,-8.975733669E-2,-2.198863719E-3,1.065888941E-2,9.041474667E-2
2.910286833E0,-3.508199656E-2,8.893889096E-3,-1.149036348E-2,3.797204497E-2
2.920279833E0,-2.189526446E-3,9.254260305E-3,-3.199888766E-2,3.338209357E-2
2.930273833E0,-5.346931536E-3,1.444367333E-2,-5.050824881E-3,1.620864609E-2
